商品SKU,商品名稱,進貨成本(NTD),包材成本(NTD),人工/雜項(NTD),單位總成本(NTD),備註
CASE-IP15-BLK,iPhone15 透明保護殼(黑框),65,12,8,85,批量50入進貨
GLASS-IP15-2P,iPhone15 玻璃保護貼(2入),38,8,5,51,批量100入進貨
CABLE-MAG-2M,MagSafe 磁吸充電線 2M,148,15,10,173,進貨成本偏高
BT-EAR-A1-WHT,A1藍牙耳機(白),390,25,15,430,有藍牙模組品管問題
STAND-DESK-ADJ,懶人手機支架桌面(可調),78,12,8,98,主打可調式結構
BAG-WATER-L,防水手機袋L號,105,10,8,123,材料成本佔售價69%
CASE-IP14-CLR,iPhone14 透明保護殼,55,10,8,73,庫存偏高 滯銷中
CHG-WL-15W,15W無線充電盤(附線),162,18,10,190,附贈線材
LENS-CLIP-3IN1,三合一夾式鏡頭組,68,12,8,88,夾式設計適多機型
POWER-MAG-10K,磁吸行動電源10000mAh,520,28,15,563,Magsafe認證 成本高
