## === 廣告資料 (蝦皮關鍵字廣告 / 商品廣告) 2024-01-15 ~ 2024-01-21 ===
區塊,商品SKU,商品名稱,廣告類型,廣告花費(NTD),曝光次數,點擊次數,CTR(%),CPC(NTD),廣告帶來訂單數,廣告銷售額(NTD),ROAS
廣告,CASE-IP15-BLK,iPhone15 透明保護殼(黑框),關鍵字廣告,1260,42000,1890,4.50,0.67,18,3582,2.84
廣告,GLASS-IP15-2P,iPhone15 玻璃保護貼(2入),關鍵字廣告,198,8500,340,4.00,0.58,6,1794,9.06
廣告,CABLE-MAG-2M,MagSafe 磁吸充電線 2M,關鍵字廣告,2100,31000,1050,3.39,2.00,8,3920,1.87
廣告,BT-EAR-A1-WHT,A1藍牙耳機(白),商品廣告,480,15000,360,2.40,1.33,4,5120,10.67
廣告,STAND-DESK-ADJ,懶人手機支架桌面(可調),關鍵字廣告,315,9000,270,3.00,1.17,5,2100,6.67
廣告,CHG-WL-15W,15W無線充電盤(附線),關鍵字廣告,120,5500,110,2.00,1.09,2,1360,11.33
廣告,LENS-CLIP-3IN1,三合一夾式鏡頭組,商品廣告,90,4200,105,2.50,0.86,2,700,7.78
廣告,POWER-MAG-10K,磁吸行動電源10000mAh,商品廣告,180,6000,120,2.00,1.50,2,2980,16.56
廣告,BAG-WATER-L,防水手機袋L號,關鍵字廣告,95,3800,76,2.00,1.25,0,0,0.00
廣告,CASE-IP14-CLR,iPhone14 透明保護殼,關鍵字廣告,210,7200,144,2.00,1.46,2,560,2.67

## === 折扣/促銷資料 2024-01-15 ~ 2024-01-21 ===
區塊,活動名稱,折扣類型,套用商品SKU,折扣設定,折扣承擔方,活動期間,使用次數,折扣總金額(NTD)
折扣,週年慶回饋,賣家折扣(件折),CASE-IP15-BLK,原價350折扣至199(折扣151元),賣家全額負擔,2024-01-15~2024-01-21,22,3322
折扣,新品上市優惠,賣家折扣,GLASS-IP15-2P,無折扣(正常售價),,,0,0
折扣,蝦皮購物節,平台補貼,CASE-IP15-BLK,額外平台補貼0元(本週無),蝦皮,,0,0
折扣,免運券,賣家免運,CASE-IP15-BLK,賣家負擔全部運費(每單45元),賣家,2024-01-15~2024-01-21,22,990
折扣,組合優惠(未啟用),,,建議:GLASS-IP15-2P+CASE-IP15-BLK組合可測試,,,0,0
